id,title,year,author,genre,source_type,source_path,source_url,note
al_petr_kropotkin_to_max_nettlau,To Max Nettlau,1902,Peter Kropotkin,unknown,local_txt,To_Max_Nettlau.txt,https://theanarchistlibrary.org/library/petr-kropotkin-to-max-nettlau.muse,Anarchist Library download (local file)
al_petr_kropotkin_war,War,1914,Peter Kropotkin,unknown,local_txt,War.txt,https://theanarchistlibrary.org/library/petr-kropotkin-war.muse,Anarchist Library download (local file)
al_petr_kropotkin_war_or_peace,War Or Peace,1896,Peter Kropotkin,unknown,local_txt,War_Or_Peace.txt,https://theanarchistlibrary.org/library/petr-kropotkin-war-or-peace.muse,Anarchist Library download (local file)
al_petr_kropotkin_wars_and_capitalism,Wars And Capitalism,1914,Peter Kropotkin,unknown,local_txt,Wars_And_Capitalism.txt,https://theanarchistlibrary.org/library/petr-kropotkin-wars-and-capitalism.muse,Anarchist Library download (local file)
al_petr_kropotkin_what_a_strike_is,What A Strike Is,1889,Peter Kropotkin,unknown,local_txt,What_A_Strike_Is.txt,https://theanarchistlibrary.org/library/petr-kropotkin-what-a-strike-is.muse,Anarchist Library download (local file)
al_petr_kropotkin_what_geography_ought_to_be,What Geography Ought To Be,1885,Peter Kropotkin,unknown,local_txt,What_Geography_Ought_To_Be.txt,https://theanarchistlibrary.org/library/petr-kropotkin-what-geography-ought-to-be.muse,Anarchist Library download (local file)
al_petr_kropotkin_why_should_i_be_moral,Why Should I Be Moral,NA,Peter Kropotkin,unknown,local_txt,Why_Should_I_Be_Moral.txt,https://theanarchistlibrary.org/library/petr-kropotkin-why-should-i-be-moral.muse,Anarchist Library download (local file)
al_petr_kropotkin_will_the_revolution_be_collectivist,Will The Revolution Be Collectivist,1913,Peter Kropotkin,unknown,local_txt,Will_The_Revolution_Be_Collectivist.txt,https://theanarchistlibrary.org/library/petr-kropotkin-will-the-revolution-be-collectivist.muse,Anarchist Library download (local file)
al_petr_kropotkin_words_of_a_rebel_1,Words Of A Rebel 1,1885,Peter Kropotkin,unknown,local_txt,Words_Of_A_Rebel_1.txt,https://theanarchistlibrary.org/library/petr-kropotkin-words-of-a-rebel-1.muse,Anarchist Library download (local file)
al_petr_kropotkin_workers_organisation,Workers Organisation,1881,Peter Kropotkin,unknown,local_txt,Workers_Organisation.txt,https://theanarchistlibrary.org/library/petr-kropotkin-workers-organisation.muse,Anarchist Library download (local file)
